name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Baibing,15,85,85,1,1,1
Boyibo,20,75,70,1,1,1
China_All_Democracy_Movement,100,20,90,1,1,1
Chenyun,10,100,85,1,1,1
China_Spring,100,20,90,1,1,1
Europe,90,55,30,1,1,1
Guandung,50,30,70,1,1,1
Hong_Kong,100,25,85,1,1,1
Japan,60,50,50,1,1,1
Li_Peng,15,90,80,1,1,1
Peng_Zhen,15,90,80,1,1,1
Qiao_Shi,15,85,80,1,1,1
Ruihuan,30,60,75,1,1,1
Shanghai,35,30,50,1,1,1
Shangkun,20,100,85,1,1,1
Students_Intellectuals,100,40,90,1,1,1
Tian_Jiyun,20,50,40,1,1,1
United_States,100,70,40,1,1,1
Wang_Zhen,15,85,80,1,1,1
Wan_Li,25,60,60,1,1,1
Xiannian,20,60,60,1,1,1
Zeming,25,80,30,1,1,1
Zhu_Rongji,35,60,80,1,1,1
Zou_Jiahua,15,80,75,1,1,1
