name,position,capabilities,salience,resolve
Argentina,54.8,0.972,100,1
Australia,50.65,0.889,100,1
Belgium,51.4,1.182,100,1
Brazil,94.8,0.993,100,1
Bulgaria,0,0.345,100,1
Canada,78.1,1.61,100,1
China,50.65,11.941,100,1
Czechoslovakia,4.5,1.401,100,1
Denmark,50.65,0.24,100,1
Egypt,51.6,0.408,100,1
England,51.8,7.863,100,1
France,51.4,3.597,100,1
Greece,50.65,0.418,100,1
Hungary,4.5,0.45,100,1
India,50.65,2.468,100,1
Iran,51.2,0.491,100,1
Iraq,51.85,0.157,100,1
Israel,50.65,0.125,100,1
Italy,50.65,2.426,100,1
Mexico,94.8,0.774,100,1
Norway,50.65,0.23,100,1
Netherlands,51.4,0.836,100,1
Pakistan,50.65,1.485,100,1
Philippines,50.65,0.408,100,1
Poland,4.5,3.273,100,1
Rumania,4.5,0.606,100,1
USSR,0,18.256,100,1
South Africa,50.65,0.68,100,1
Saudi Arabia,51.4,0.125,100,1
Spain,50.65,1.683,100,1
Sweden,50.65,0.648,100,1
Syria,51.4,0.104,100,1
Thailand,50.65,0.414,100,1
Turkey,51.2,1.347,100,1
USA,100,29.956,100,1
Yugoslavia,0,0.891,100,1
