name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Israel (Government),0.05,0.004,1,1,1,1
Hamas,0.95,0.002,1,1,1,1
Palestinian Authority,0.75,0.002,0.7,0.6,1,1
United States,0.2,0.14,0.2,0.9,1,1
Iran,0.9,0.015,0.2,1,1,1
Turkey,0.7,0.015,0.05,0.7,1,1
Egypt,0.6,0.01,0.05,0.7,1,1
European Union,0.4,0.13,0.25,0.6,1,1
Saudi Arabia,0.5,0.015,0.05,0.6,1,1
Russia,0.65,0.036,0.15,0.6,1,1
Qatar,0.75,0.002,0.03,0.8,1,1
United Nations,0.55,0.003,0.35,0.5,1,1
Lebanese Hezbollah,0.95,0.001,0.85,1,1,1
Jordan,0.6,0.002,0.2,0.7,1,1
China,0.45,0.24,0.01,0.5,1,1
