dataset_name,source,actual_result
bruce_china_democratization_data.csv,source,0.6
bruce_europe_1994_negotiations.csv,source,0.35
bruce_iranian_government_in_economy.csv,source,
bruce_kyoto_data.csv,source,0.25
haven_israel_hamas_war.csv,source,0.45
haven_marijuana_legalization.csv,source,0.55
haven_russia_ukraine_war.csv,source,0.6
haven_world_war_ii.csv,source,0.1
Iranian_War_With_Iran.csv,source,
Israel_Palestine_1990_Domestic.csv,source,
Israel_Palestine_1990_International.csv,source,
pg_test_data_5_players.csv,source,
sample.csv,source,
