Country,Resources,Position,Salience
Argentina,0.972,9.6,100
Australia,0.889,1.3,100
Belgium,1.182,2.8,100
Brazil,0.993,89.6,100
Bulgaria,0.345,-100.0,100
Canada,1.61,56.2,100
China,11.941,1.3,100
Czechoslovakia,1.401,-91.0,100
Denmark,0.24,1.3,100
Egypt,0.408,3.2,100
England,7.863,3.6,100
France,3.597,2.8,100
Greece,0.418,1.3,100
Hungary,0.45,-91.0,100
India,2.468,1.3,100
Iran,0.491,2.4,100
Iraq,0.157,3.7,100
Israel,0.125,1.3,100
Italy,2.426,1.3,100
Mexico,0.774,89.6,100
Norway,0.23,1.3,100
Netherlands,0.836,2.8,100
Pakistan,1.485,1.3,100
Philippines,0.408,1.3,100
Poland,3.273,-91.0,100
Rumania,0.606,-91.0,100
USSR,18.256,-100.0,100
South Africa,0.68,1.3,100
Saudi Arabia,0.125,2.8,100
Spain,1.683,1.3,100
Sweden,0.648,1.3,100
Syria,0.104,2.8,100
Thailand,0.414,1.3,100
Turkey,1.347,2.4,100
USA,29.956,100.0,100
Yugoslavia,0.891,-100.0,100
