name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Netherlands,1.0,0.0792079207920792,0.008,1.0,0.0,0.0
Belgium,1.0,0.0792079207920792,0.004,1.0,0.0,0.0
Luxembourg,0.9683113623812409,0.029702970297029695,0.002,1.0,0.0,0.0
Germany,0.47055190055145213,0.1584158415841584,0.008,1.0,0.0,0.0
Gfrance,0.4054902891268052,0.1584158415841584,0.006,1.0,0.0,0.0
Italy,0.34074978673070305,0.1584158415841584,0.006,1.0,0.0,0.0
UK,0.16539897578668838,0.1584158415841584,0.009000000000000001,1.0,0.0,0.0
Ireland,0.11664472359248512,0.04950495049504949,0.002,1.0,0.0,0.0
Denmark,0.1507200508957921,0.04950495049504949,0.02,1.0,0.0,0.0
Greece,0.9297011885668146,0.0792079207920792,0.006999999999999999,1.0,0.0,0.0
