name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
senate_r,0.0,0.12614678899082568,0.01,0.9,0.0,0.0
senate_d,0.0,0.13761467889908258,0.65,0.7,0.0,0.0
states_moderate,0.0,0.08027522935779817,0.2,0.7,0.0,0.0
states_against,0.0,0.04128440366972477,0.2,0.8,0.0,0.0
states_for,0.0,0.05733944954128441,0.35,1.0,0.0,0.0
president,0.0,0.14220183486238533,0.2,0.55,0.0,0.0
supreme_court,0.0,0.022935779816513763,0.1,0.8,0.0,0.0
public,0.0,0.16055045871559634,0.85,0.45,0.0,0.0
corporations,0.0,0.13761467889908258,0.15,0.3,0.0,0.0
house_r,0.0,0.04128440366972477,0.6,0.85,0.0,0.0
house_d,0.4643752191488799,0.052752293577981654,0.65,1.0,0.0,0.0
