name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Israel (Government),0.0,0.006482982171799028,1.0,1.0,1.0,1.0
Hamas,0.0,0.003241491085899514,1.0,1.0,1.0,1.0
Palestinian Authority,0.0,0.003241491085899514,0.7,0.6,1.0,1.0
United States,0.0,0.22690437601296598,0.2,0.9,1.0,1.0
Iran,0.0,0.02431118314424635,0.2,1.0,1.0,1.0
Turkey,0.0,0.02431118314424635,0.05,0.7,1.0,1.0
Egypt,0.0,0.01620745542949757,0.05,0.7,1.0,1.0
European Union,0.0,0.2106969205834684,0.25,0.6,1.0,1.0
Saudi Arabia,0.0,0.02431118314424635,0.05,0.6,1.0,1.0
Russia,0.0,0.05834683954619124,0.15,0.6,1.0,1.0
Qatar,0.0,0.003241491085899514,0.03,0.8,1.0,1.0
United Nations,0.0,0.004862236628849271,0.35,0.5,1.0,1.0
Lebanese Hezbollah,0.0,0.001620745542949757,0.85,1.0,1.0,1.0
Jordan,0.49416833521430514,0.003241491085899514,0.2,0.7,1.0,1.0
China,0.0,0.3889789303079416,0.01,0.5,1.0,1.0
