name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Baibing,0.7345095989651725,0.056666666666666664,0.85,1.0,1.0,1.0
Boyibo,0.7380161690851698,0.05,0.7,1.0,1.0,1.0
China_All_Democracy_Movement,0.7940247446869241,0.013333333333333334,0.9,1.0,1.0,1.0
Chenyun,0.7737251660151471,0.06666666666666667,0.85,1.0,1.0,1.0
China_Spring,0.5429318922932806,0.013333333333333334,0.9,1.0,1.0,1.0
Europe,0.5725978646792976,0.03666666666666667,0.3,1.0,1.0,1.0
Guandung,0.5872004647115592,0.02,0.7,1.0,1.0,1.0
Hong_Kong,0.5883693841707014,0.016666666666666666,0.85,1.0,1.0,1.0
Japan,0.5560082821356701,0.03333333333333333,0.5,1.0,1.0,1.0
Li_Peng,0.543160063789813,0.06,0.8,1.0,1.0,1.0
Peng_Zhen,0.5085639738192043,0.06,0.8,1.0,1.0,1.0
Qiao_Shi,0.4325258278998002,0.056666666666666664,0.8,1.0,1.0,1.0
Ruihuan,0.4025937311847782,0.04,0.75,1.0,1.0,1.0
Shanghai,0.36848407914477393,0.02,0.5,1.0,1.0,1.0
Shangkun,0.3143447649570808,0.06666666666666667,0.85,1.0,1.0,1.0
Students_Intellectuals,0.28627202070717245,0.02666666666666667,0.9,1.0,1.0,1.0
Tian_Jiyun,0.2707145040387907,0.03333333333333333,0.4,1.0,1.0,1.0
United_States,0.2312661686422714,0.04666666666666667,0.4,1.0,1.0,1.0
Wang_Zhen,0.2514184519961589,0.056666666666666664,0.8,1.0,1.0,1.0
Wan_Li,0.218890216226105,0.04,0.6,1.0,1.0,1.0
Xiannian,0.18709858843024463,0.04,0.6,1.0,1.0,1.0
Zeming,0.9040567903231483,0.05333333333333334,0.3,1.0,1.0,1.0
Zhu_Rongji,0.6933281916268185,0.04,0.8,1.0,1.0,1.0
Zou_Jiahua,0.1790760877238335,0.05333333333333334,0.75,1.0,1.0,1.0
