name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Bosnia,0.5035611114461864,0.000693027374581296,0.05,0.8,1.0,1.0
Serbia,0.698475349876659,0.0018480729988834558,0.07,0.65,1.0,1.0
Moldova,0.5696634887179995,0.00046201824972086396,0.15,0.5,1.0,1.0
Finland,0.6204653808001943,0.010741924306010089,0.1,0.85,1.0,1.0
"UKR, Kiev",0.6588300317120176,0.015323605282408658,0.92,1.0,1.0,1.0
"UKR, Western Ukraine less Kiev",0.6479723726607097,0.007661802641204329,0.92,1.0,1.0,1.0
"UKR, Eastern Ukraine",0.625090218130556,0.005120702267739576,0.7,0.85,1.0,1.0
"NATO, sans USA",0.4628107918270363,0.45531898509991153,0.21,0.95,1.0,1.0
"NATO, the United States",0.33499437047238784,0.33157509721634004,0.25,0.7,1.0,1.0
Sweden,0.3617230934794321,0.013899049012435993,0.1,0.7,1.0,1.0
Russia,0.8093851014179512,0.15735571555076427,0.8,1.0,1.0,1.0
