Round,Argentina,Australia,Belgium,Brazil,Bulgaria,Canada,China,Czechoslovakia,Denmark,Egypt,England,France,Greece,Hungary,India,Iran,Iraq,Israel,Italy,Mexico,Norway,Netherlands,Pakistan,Philippines,Poland,Rumania,USSR,South Africa,Saudi Arabia,Spain,Sweden,Syria,Thailand,Turkey,USA,Yugoslavia
0,0.5479999999999999,0.5065,0.514,0.948,0.0,0.7809999999999999,0.5065,0.045,0.5065,0.516,0.518,0.514,0.5065,0.045,0.5065,0.512,0.5185,0.5065,0.5065,0.948,0.5065,0.514,0.5065,0.5065,0.045,0.045,0.0,0.5065,0.514,0.5065,0.5065,0.514,0.5065,0.512,1.0,0.0
1,0.9352580842608156,1.0,1.0,1.0,1.0,1.0,0.5680534822906651,0.6157863926462595,0.61365769122952,0.612435579655157,0.5715268260871931,0.5545189185644515,0.5514662942306106,0.5495655102772744,0.5358417692036129,0.5333838872071907,0.5315740443953727,0.5306744204061853,0.5172744470160333,0.5136121152498976,0.49354954704222775,0.5073534994736109,0.49798129272682934,0.4584222449832242,0.4362156253976672,0.39212533369072555,0.3469869357711462,0.3569101970520452,0.3585414420532251,0.34135715334773015,0.33692041181336146,0.22729010315399523,0.31066444944322574,0.31316897540931865,0.6344403283756439,0.7991181429735575
2,1.0,0.9735651779032055,0.9658184492407091,0.9544278731547361,0.969752904060802,0.8817505145073653,0.5911821736166405,0.616270231245756,0.6144888381619908,0.6090859154180419,0.5742301858099683,0.5549759671766745,0.5527758146822146,0.54787852435075,0.5372090191928183,0.5340790739727325,0.5326524951944378,0.5287699619505122,0.5191080453930759,0.5142244619290508,0.5128006655704528,0.5062786643160027,0.49952828770048247,0.4546018749673976,0.4388327886937267,0.39333900537296906,0.34824699931831515,0.3582946237395077,0.3601894260948638,0.3427223884539785,0.3383255821484267,0.22870758769711613,0.31254430080541995,0.31432185131756474,0.6357290787867227,0.7998326613852634
3,1.0,0.989080344272103,0.9646028781400405,0.9558918062900296,0.9682883499720774,0.8920104813951812,0.5907521344344795,0.6166549833909374,0.6145660928706307,0.6133296894223038,0.5724889662503392,0.5554951405310018,0.5524811230795288,0.5505790546272917,0.5368579606935866,0.5344262134936417,0.5326672142713211,0.5317786280426997,0.5183272167391019,0.514680731388615,0.5118282090800104,0.5084811607133757,0.4991212851665755,0.45961943560421853,0.43807771917854404,0.39349401309678683,0.34841411472881745,0.358455843963173,0.3603316128013049,0.34289309579115573,0.3384962095036492,0.22902194515669855,0.3127894768533362,0.314513333748167,0.6359801248005834,0.7999718507057081
4,1.0,0.9891302492731413,0.9646339906087594,0.9559118032059295,0.9682977971593126,0.8920138057489829,0.5907558352663869,0.6166567829521337,0.6145678986201071,0.6133315010006117,0.5724910499995812,0.5554972662847508,0.5524832652140494,0.5505812016230587,0.5368601922982921,0.5344284480125558,0.5326694486855059,0.5317808625807092,0.5183295527007339,0.514683075368157,0.5118305725739798,0.5084835389477799,0.4991237215881193,0.4596218803079421,0.4380802977905658,0.3934966035354525,0.3484168676685604,0.35845863825785124,0.36033442844754127,0.34289597211276096,0.33849911765934876,0.22902634546752554,0.31279354071775894,0.31451624939685496,0.6359837640234768,0.7999738684334505
5,1.0,0.9891307955135984,0.9646344472348445,0.9559121469722389,0.9682979644149521,0.8920138594984827,0.5907559045736372,0.6166568104640612,0.6145679262496269,0.613331528708523,0.5724910818287903,0.5554972987522178,0.5524832979510979,0.5505812344321572,0.5368602263770683,0.5344284821513158,0.5326694828545364,0.5317808967584816,0.5183295883663315,0.5146831111638109,0.5118306086961314,0.5084835752632351,0.4991237587826639,0.45962191766200206,0.438080337151111,0.39349664316122657,0.3484169097631674,0.35845868104461703,0.36033447170526056,0.34289601612176107,0.3384991621694464,0.2290264124172196,0.3127936028674318,0.31451629387636104,0.6359838194556785,0.799973899167236
6,1.0,0.9891308039255416,0.9646344541978149,0.9559121521915107,0.9682979669525958,0.8920138603158715,0.5907559056238014,0.6166568108830832,0.61456792667043,0.6133315291305248,0.5724910823135787,0.5554972992467289,0.5524832984497066,0.5505812349318643,0.5368602268961231,0.5344284826712777,0.5326694833749459,0.5317808972790212,0.5183295889095583,0.5146831117090156,0.5118306092462969,0.5084835758163582,0.4991237593491804,0.45962191823093423,0.4380803377506202,0.3934966437647397,0.3484169104042887,0.3584586816962546,0.3603344723640096,0.3428960167920277,0.3384991628473389,0.2290264134370384,0.3127936038139971,0.3145162945538493,0.6359838203000292,0.7999738996353774
7,1.0,0.9891308040536338,0.9646344543038727,0.9559121522710182,0.9682979669912538,0.8920138603283227,0.5907559056398,0.6166568108894657,0.6145679266768397,0.6133315291369527,0.5724910823209629,0.5554972992542613,0.5524832984573014,0.5505812349394759,0.5368602269040295,0.5344284826791981,0.5326694833828729,0.5317808972869502,0.5183295889178329,0.5146831117173201,0.5118306092546769,0.5084835758247834,0.49912375935780967,0.45962191823960036,0.4380803377597522,0.39349664377393245,0.3484169104140544,0.3584586817061805,0.36033447237404365,0.34289601680223736,0.3384991628576647,0.22902641345257252,0.3127936038284157,0.31451629456416896,0.6359838203128907,0.7999738996425082
8,1.0,0.9891308040555848,0.9646344543054881,0.9559121522722295,0.9682979669918427,0.8920138603285126,0.5907559056400438,0.616656810889563,0.6145679266769374,0.6133315291370505,0.5724910823210754,0.5554972992543761,0.5524832984574172,0.5505812349395919,0.5368602269041498,0.5344284826793186,0.5326694833829937,0.531780897287071,0.5183295889179589,0.5146831117174466,0.5118306092548047,0.508483575824912,0.49912375935794134,0.4596219182397323,0.4380803377598913,0.39349664377407256,0.34841691041420314,0.3584586817063318,0.36033447237419663,0.3428960168023929,0.3384991628578221,0.22902641345280894,0.31279360382863525,0.3145162945643262,0.6359838203130864,0.7999738996426168
9,1.0,0.989130804055615,0.9646344543055126,0.9559121522722476,0.9682979669918518,0.8920138603285156,0.5907559056400473,0.6166568108895645,0.6145679266769388,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793203,0.5326694833829955,0.5317808972870728,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397342,0.4380803377598932,0.39349664377407445,0.34841691041420525,0.358458681706334,0.3603344723741988,0.34289601680239506,0.33849916285782433,0.22902641345281238,0.3127936038286382,0.31451629456432834,0.6359838203130892,0.7999738996426183
10,1.0,0.9891308040556152,0.9646344543055133,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
11,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
12,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
13,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
