name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Argentina,1.0,0.00975003009268547,1.0,1.0,0.0,0.0
Australia,0.9891308040556153,0.008917465794647514,1.0,1.0,0.0,0.0
Belgium,0.9646344543055134,0.011856518075673072,1.0,1.0,0.0,0.0
Brazil,0.9559121522722479,0.009960678890984231,1.0,1.0,0.0,0.0
Bulgaria,0.968297966991852,0.003460658829193917,1.0,1.0,0.0,0.0
Canada,0.8920138603285155,0.01614974120290495,1.0,1.0,0.0,0.0
China,0.5907559056400473,0.11977891907073787,1.0,1.0,0.0,0.0
Czechoslovakia,0.6166568108895645,0.014053284115074428,1.0,1.0,0.0,0.0
Denmark,0.6145679266769389,0.002407414837700116,1.0,1.0,0.0,0.0
Egypt,0.613331529137052,0.004092605224090197,1.0,1.0,0.0,0.0
England,0.572491082321077,0.07887292862015007,1.0,1.0,0.0,0.0
France,0.5554972992543776,0.03608112988003049,1.0,1.0,0.0,0.0
Greece,0.552483298457419,0.004192914175661036,1.0,1.0,0.0,0.0
Hungary,0.5505812349395935,0.004513902820687718,1.0,1.0,0.0,0.0
India,0.5368602269041518,0.02475624924768286,1.0,1.0,0.0,0.0
Iran,0.5344284826793204,0.004925169522128154,1.0,1.0,0.0,0.0
Iraq,0.5326694833829955,0.0015748505396621594,1.0,1.0,0.0,0.0
Israel,0.5317808972870729,0.0012538618946354772,1.0,1.0,0.0,0.0
Italy,0.5183295889179607,0.024334951651085342,1.0,1.0,0.0,0.0
Mexico,0.5146831117174485,0.007763912851582875,1.0,1.0,0.0,0.0
Norway,0.5118306092548066,0.0023071058861292783,1.0,1.0,0.0,0.0
Netherlands,0.5084835758249138,0.008385828351322072,1.0,1.0,0.0,0.0
Pakistan,0.4991237593579431,0.01489587930826947,1.0,1.0,0.0,0.0
Philippines,0.4596219182397344,0.004092605224090197,1.0,1.0,0.0,0.0
Poland,0.43808033775989336,0.03283111984913534,1.0,1.0,0.0,0.0
Rumania,0.39349664377407445,0.006078722465192793,1.0,1.0,0.0,0.0
USSR,0.34841691041420536,0.18312402198772218,0.24,1.0,0.0,0.0
South Africa,0.3584586817063341,0.006821008706816996,1.0,1.0,0.0,0.0
Saudi Arabia,0.3603344723741989,0.0012538618946354772,1.0,1.0,0.0,0.0
Spain,0.34289601680239523,0.016881996549372065,1.0,1.0,0.0,0.0
Sweden,0.33849916285782433,0.006500020061790314,1.0,1.0,0.0,0.0
Syria,0.2290264134528125,0.001043213096336717,1.0,1.0,0.0,0.0
Thailand,0.3127936038286384,0.0041527905950327,1.0,1.0,0.0,0.0
Turkey,0.31451629456432845,0.013511615776591901,1.0,1.0,0.0,0.0
USA,0.6359838203130893,0.3004854953256028,1.0,1.0,0.0,0.0
Yugoslavia,0.7999738996426184,0.008937527584961682,1.0,1.0,0.0,0.0
