Round,Argentina,Australia,Belgium,Brazil,Bulgaria,Canada,China,Czechoslovakia,Denmark,Egypt,England,France,Greece,Hungary,India,Iran,Iraq,Israel,Italy,Mexico,Norway,Netherlands,Pakistan,Philippines,Poland,Rumania,USSR,South Africa,Saudi Arabia,Spain,Sweden,Syria,Thailand,Turkey,USA,Yugoslavia
0,0.9930685275327121,0.9844360739302742,0.9862511559066185,0.8996728996044029,0.6015165377944959,0.977576574264472,0.9844360739302742,0.6563045296525611,0.9844360739302742,0.986716177766977,0.9871731996273354,0.9862511559066185,0.9844360739302742,0.6563045296525611,0.9844360739302742,0.98577813404626,0.9872862050924249,0.9844360739302742,0.9844360739302742,0.8996728996044029,0.9844360739302742,0.9862511559066185,0.9844360739302742,0.9844360739302742,0.6563045296525611,0.6563045296525611,0.6015165377944959,0.9844360739302742,0.9862511559066185,0.9844360739302742,0.9844360739302742,0.9862511559066185,0.9844360739302742,0.98577813404626,0.8640274679737227,0.6015165377944959
1,0.9520790850982389,0.9195424629926037,0.9195424629926037,0.9195424629926037,0.9195424629926037,0.9195424629926037,0.9780082549827841,0.9898870369260032,0.9894543673791963,0.989201871828412,0.9790263578186412,0.9738108234642678,0.9728134882631346,0.9721830601167586,0.967416915122018,0.9665235399354954,0.9658579859650774,0.9655247195575125,0.9603690747527248,0.95889750340525,0.9503601266521082,0.9563206208189295,0.9523152728226811,0.9334734682469461,0.9215249440146164,0.8948786109479038,0.8635712061101624,0.8708032998790669,0.8719733064487694,0.8593806485437803,0.8560334745479088,0.7608207871431046,0.8354195408646262,0.837445366311167,0.9932908676375529,0.9931493719160503
2,0.9201088378625012,0.9343536560341118,0.9382633069811127,0.943793964936903,0.9362926493271324,0.9729723896109488,0.9840817419162655,0.989782930284915,0.9894196322017221,0.9882789414752211,0.9795167894915598,0.9736347536821907,0.9729154188314285,0.9712795026651129,0.9675493160287241,0.9664118582142905,0.965886922964554,0.9644376624132944,0.9607002253709387,0.9587401161333341,0.9581596708377734,0.9554489955279785,0.9525538092611966,0.9309635525971154,0.922428300601834,0.8950170354317304,0.8637631572354856,0.8710794141623228,0.872436500895552,0.8596543377443534,0.8563406779214581,0.7612288343025235,0.8361325458854828,0.8375685104773422,0.9933380655433778,0.9931965698218751
3,0.9202189337878888,0.9262683268708398,0.9389621956366184,0.9431905980956808,0.9371275601115476,0.9695616480615046,0.9839236766115158,0.9898212899835522,0.9893954318902722,0.9891392572920299,0.9789588699081611,0.9737399802720363,0.972754056314255,0.972122514474768,0.9673523468348714,0.9664676650958658,0.9658203609010334,0.9654910123592622,0.9603124435329015,0.9588462603089514,0.9576807761373215,0.9562924881408051,0.9522912657625119,0.9334746216459936,0.9218982756069709,0.8949912322978827,0.8637427021240446,0.8710552820984109,0.8723988984992589,0.8596362679330962,0.856322335407009,0.7613456385746962,0.8361733092348547,0.8375658172910685,0.9933472402038267,0.9932057444823241
4,0.9202205292065645,0.9262427564165612,0.9389482171379029,0.9431824116668459,0.9371242387268908,0.9695614735450425,0.9839238989089069,0.9898210832297756,0.9893952221302709,0.9891390462284871,0.9789586550917467,0.9737397539027862,0.9727538311424446,0.9721222883315782,0.9673521326829645,0.966467449129122,0.9658201428210342,0.9654907932770997,0.9603122489977101,0.9588460654660775,0.9576805865836062,0.9562923016663993,0.9522910963584625,0.9334744258776223,0.9218981383341287,0.8949910807906045,0.8637426495082691,0.8710552606141679,0.8723988923813506,0.8596363069807532,0.8563223990462454,0.7613471784944235,0.8361743127465189,0.837565890996657,0.993347373155383,0.9932058774338803
5,0.920220553507665,0.9262424830831414,0.9389480127437184,0.9431822682913822,0.93712417642161,0.9695614698004764,0.9839239055754119,0.9898210801009372,0.9893952189608708,0.9891390430373738,0.9789586518457308,0.9737397504833495,0.9727538277484056,0.972122284922489,0.967352129452551,0.9664674458772008,0.9658201395490686,0.9654907899926559,0.9603122460682431,0.9588460625357572,0.9576805837464144,0.9562922988638718,0.9522910938144933,0.9334744229558634,0.9218981362898419,0.8949910785920855,0.8637426488265504,0.8710552604480875,0.8723988925525991,0.8596363077232986,0.8563224001773855,0.7613472018766777,0.8361743282337405,0.8375658921747071,0.9933473751804747,0.9932058794589721
6,0.9202205538778225,0.9262424788699672,0.93894800962661,0.9431822661155816,0.9371241754775906,0.969561469743903,0.9839239056755539,0.9898210800532695,0.9893952189125831,0.9891390429887561,0.978958651796276,0.973739750431252,0.9727538276966918,0.9721222848705461,0.9673521294033313,0.9664674458276509,0.9658201394992082,0.9654907899426042,0.9603122460236065,0.9588460624911062,0.9576805837031765,0.9562922988211671,0.9522910937757276,0.933474422911333,0.9218981362586829,0.8949910785585508,0.8637426488161151,0.8710552604454888,0.8723988925550944,0.8596363077345459,0.856322400194546,0.7613472022328707,0.8361743284695575,0.8375658921926274,0.9933473752113212,0.9932058794898185
7,0.9202205538834609,0.9262424788058132,0.9389480095791314,0.9431822660824364,0.9371241754632091,0.9695614697430411,0.9839239056770798,0.9898210800525434,0.9893952189118475,0.9891390429880155,0.9789586517955225,0.9737397504304584,0.972753827695904,0.9721222848697548,0.9673521294025815,0.9664674458268961,0.9658201394984487,0.9654907899418418,0.9603122460229266,0.9588460624904259,0.9576805837025179,0.9562922988205165,0.9522910937751371,0.9334744229106546,0.9218981362582083,0.8949910785580398,0.8637426488159561,0.871055260445449,0.8723988925551323,0.8596363077347171,0.8563224001948073,0.7613472022382962,0.8361743284731497,0.8375658921929003,0.9933473752117911,0.9932058794902884
8,0.9202205538835467,0.926242478804836,0.9389480095784082,0.9431822660819315,0.9371241754629901,0.9695614697430279,0.9839239056771031,0.9898210800525323,0.9893952189118362,0.9891390429880041,0.9789586517955111,0.9737397504304464,0.9727538276958921,0.9721222848697427,0.9673521294025701,0.9664674458268847,0.9658201394984371,0.9654907899418301,0.9603122460229162,0.9588460624904156,0.9576805837025079,0.9562922988205067,0.9522910937751282,0.9334744229106443,0.921898136258201,0.8949910785580322,0.8637426488159536,0.8710552604454486,0.8723988925551329,0.8596363077347198,0.8563224001948114,0.7613472022383787,0.8361743284732043,0.8375658921929047,0.9933473752117982,0.9932058794902956
9,0.920220553883548,0.9262424788048208,0.9389480095783971,0.9431822660819238,0.9371241754629865,0.9695614697430276,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.978958651795511,0.9737397504304461,0.972753827695892,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205066,0.952291093775128,0.9334744229106442,0.9218981362582009,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948115,0.76134720223838,0.8361743284732049,0.8375658921929047,0.9933473752117983,0.9932058794902957
